species	type_var	chromosome	start	end	gff_upmost_parent	gene_name	Scerevisiae_orthologs	selection_score_S	fdr_p_S	orthofinder_orthocluster	n_types_vars_in_species_orthogroup	n_species_orthogroup	description	biological_process_GO	molecular_function_GO	cellular_component_GO	fraction_clusters_w_selection	fraction_strains_w_selection	total_number_clusters	total_number_strains	significant_selection
Candida_albicans	DEL	Ca22chr4A_C_albicans_SC5314	897092	899638	C4_04190C_A			0.17467440078800478		OG0002927	1	1	Ortholog of C. dubliniensis CD36 : Cd36_43870, C. parapsilosis CDC317 : CPAR2_402120, Candida tropicalis MYA-3404 : CTRG_05742 and Candida albicans WO-1 : CAWG_03407	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.2876712328767123	0.1254125412541254	73	303	True
Candida_albicans	DEL	Ca22chr4A_C_albicans_SC5314	897092	898435	C4_04200C_A			0.1714474845542807		OG0002927	1	1	Protein of unknown function; repressed by Sfu1; Hap43-induced gene	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.2876712328767123	0.12211221122112212	73	303	True
Candida_albicans	DEL	Ca22chr3A_C_albicans_SC5314	1407764	1411864	C3_06190C_A	ALS6		0.17095756588989516		OG0000003	1	3	ALS family protein; expression in S. cerevisiae confers adhesion to gelatin; macrophage-induced gene; N-terminal adhesion domain; ALS family includes cell-surface glycoproteins, some with adhesin function	GO:0007155 (cell adhesion), GO:0043709 (cell adhesion involved in single-species biofilm formation), GO:0043710 (cell adhesion involved in multi-species biofilm formation)	GO:0003674 (molecular_function)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface)	0.3287671232876712	0.11551155115511551	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	78916	79317	C6_00450C_A			0.16904661906761864		OG0005888	1	1	Ortholog of Candida albicans WO-1 : CAWG_05313				0.3150684931506849	0.11551155115511551	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	1800507	1801664	C2_08870C_A	PIR1	PIR1	0.1535635562086701		OG0000108	1	1	1,3-beta-glucan-linked cell wall protein; N-mannosylated, O-glycosylated by Pmt1; cell wall defect in het mutant; Hog1/fluconazole/hypoxia induced; iron/Efg1/Plc1/temp regulated; flow model biofilm induced; hyphal, Spider biofilm repressed	GO:0006886 (intracellular protein transport), GO:0031505 (fungal-type cell wall organization), GO:0071502 (cellular response to temperature stimulus)	GO:0005199 (structural constituent of cell wall)	GO:0005576 (extracellular region), GO:0005618 (cell wall), GO:0005621 (cellular bud scar), GO:0009277 (fungal-type cell wall), GO:0030445 (yeast-form cell wall), GO:0034399 (nuclear periphery)	0.2602739726027397	0.10891089108910891	73	303	True
Candida_albicans	DEL	Ca22chr1A_C_albicans_SC5314	536928	537227	C1_02560W_A			0.1489847410789379		OG0006055	1	1	Ortholog of Candida albicans WO-1 : CAWG_05543				0.273972602739726	0.10231023102310231	73	303	True
Candida_albicans	DEL	Ca22chr3A_C_albicans_SC5314	1729949	1732195	C3_07560W_A	TCC1		0.14731673097158893		OG0003270	2	2	Putative transcription factor/corepressor; regulation of filamentation and virulence; interacts with Tup1; regulates hypha-specific gene expression; contains 4 tetratricopeptide repeat (TPR) motifs; flucytosine repressed; Tbp1-induced	GO:0000122 (negative regulation of transcription by RNA polymerase II), GO:0030447 (filamentous growth), GO:0036177 (filamentous growth of a population of unicellular organisms in response to pH), GO:0045892 (negative regulation of transcription, DNA-templated), GO:0071467 (cellular response to pH)	GO:0003674 (molecular_function), GO:0005515 (protein binding)	GO:0005634 (nucleus)	0.2876712328767123	0.09900990099009901	73	303	True
Candida_albicans	DEL	Ca22chr5A_C_albicans_SC5314	171023	174772	C5_00730W_A	HYR3		0.14688279301745635		OG0000140	2	1	Putative GPI-anchored adhesin-like protein; similar to Hyr1p induced in high iron; clade-specific repeat variation	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface)	0.2602739726027397	0.10231023102310231	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	797842	803514	C6_03710W_A	ALS9	FLO1	0.13754775963876348		OG0000003	1	3	ALS family cell-surface glycoprotein; expressed during infection of human epithelial cells; confers laminin adhesion to S. cerevisiae; highly variable; putative GPI-anchor; Hap43-repressed	GO:0000128 (flocculation), GO:0007155 (cell adhesion), GO:0034605 (cellular response to heat), GO:0036281 (flocculation), GO:0043709 (cell adhesion involved in single-species biofilm formation), GO:0043710 (cell adhesion involved in multi-species biofilm formation), GO:0070301 (cellular response to hydrogen peroxide), GO:0071361 (cellular response to ethanol)	GO:0005537 (mannose binding)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface)	0.3013698630136986	0.0891089108910891	73	303	True
Candida_albicans	DEL	Ca22chr3A_C_albicans_SC5314	1446503	1451209	C3_06320W_A	ALS7		0.1307709802137821		OG0000003	1	3	ALS family protein; hypermutable contingency gene; growth-regulated, downregulated in biofilm; two variable repeat regions; expression in S. cerevisiae does not confer adhesiveness; ALS family includes adhesins, cell-surface glycoproteins	GO:0007155 (cell adhesion), GO:0043709 (cell adhesion involved in single-species biofilm formation), GO:0043710 (cell adhesion involved in multi-species biofilm formation)	GO:0003674 (molecular_function)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface)	0.3150684931506849	0.08250825082508251	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	791291	795073	C6_03700W_A	ALS1		0.13068610203568734		OG0000003	1	3	Cell-surface adhesin; adhesion, virulence, immunoprotective roles; band at hyphal base; Rfg1, Ssk1, Spider biofilm induced; flow model biofilm repressed; CAI-4 strain background effects; promoter bound Bcr1, Tec1, Efg1, Ndt80, and Brg1	GO:0000128 (flocculation), GO:0006878 (cellular copper ion homeostasis), GO:0007155 (cell adhesion), GO:0030447 (filamentous growth), GO:0030448 (hyphal growth), GO:0036178 (filamentous growth of a population of unicellular organisms in response to neutral pH), GO:0036244 (cellular response to neutral pH), GO:0043709 (cell adhesion involved in single-species biofilm formation), GO:0043710 (cell adhesion involved in multi-species biofilm formation), GO:0044011 (single-species biofilm formation on inanimate substrate), GO:0044182 (filamentous growth of a population of unicellular organisms), GO:0044406 (adhesion of symbiont to host), GO:0044409 (entry into host), GO:0044416 (induction by symbiont of host defense response), GO:0098609 (cell-cell adhesion), GO:1900735 (positive regulation of flocculation)	GO:0001968 (fibronectin binding), GO:0042277 (peptide binding), GO:0043236 (laminin binding)	GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface), GO:0030445 (yeast-form cell wall), GO:0030446 (hyphal cell wall)	0.273972602739726	0.0858085808580858	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	820478	821188	C7_03690W_A			0.13068610203568734		OG0000004	3	1	Ortholog of Candida albicans WO-1 : CAWG_05700	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.273972602739726	0.0858085808580858	73	303	True
Candida_albicans	DEL	Ca22chr1A_C_albicans_SC5314	867380	868414	C1_04140W_A	IFD6		0.13059141398979285		OG0004932	1	1	Aldo-keto reductase; similar to aryl alcohol dehydrogenases; protein increase correlates with MDR1 overexpression (not CDR1 or CDR2) in fluconazole-resistant clinical isolates; farnesol regulated; possibly essential; Spider biofilm induced	GO:0044011 (single-species biofilm formation on inanimate substrate)	GO:0016491 (oxidoreductase activity), GO:0018456 (aryl-alcohol dehydrogenase (NAD+) activity), GO:0047834 (D-threo-aldose 1-dehydrogenase activity)	GO:0005575 (cellular_component)	0.2054794520547945	0.09570957095709572	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	717849	720047	C6_03420W_A		CTF3	0.12670479542454904		OG0004043	1	1	Ortholog(s) have role in DNA replication initiation, chromosome segregation, establishment of mitotic sister chromatid cohesion, mitotic spindle assembly checkpoint and condensed nuclear chromosome kinetochore localization	GO:0006270 (DNA replication initiation), GO:0007059 (chromosome segregation), GO:0007094 (mitotic spindle assembly checkpoint signaling), GO:0034087 (establishment of mitotic sister chromatid cohesion)	GO:0003674 (molecular_function)	GO:0000778 (kinetochore)	0.2191780821917808	0.0891089108910891	73	303	True
Candida_albicans	DEL	Ca22chrRA_C_albicans_SC5314	499907	502696	CR_02240C_A	OPT2		0.12540785927081857		OG0000006	1	2	Oligopeptide transporter; induced upon phagocytosis by macrophage; macrophage/pseudohyphal-repressed after 16h; fluconazole-induced; virulence-group-correlated expression; Hap43-repressed	GO:0006857 (oligopeptide transport), GO:0019740 (nitrogen utilization), GO:0035672 (oligopeptide transmembrane transport), GO:0055085 (transmembrane transport)	GO:0035673 (oligopeptide transmembrane transporter activity)	GO:0005886 (plasma membrane)	0.2328767123287671	0.0858085808580858	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	192961	193944	C6_00970C_A	HAL21	MET22	0.11820947414167751		OG0000219	1	1	Putative phosphoadenosine-5'-phosphate or 3'-phosphoadenosine 5'-phosphosulfate phosphatase; possible role in sulfur recycling; ortholog of S. cerevisiae Met22; predicted Kex2 substrate; F-12/CO2 biofilm induced	GO:0000103 (sulfate assimilation), GO:0006790 (sulfur compound metabolic process), GO:0009086 (methionine biosynthetic process), GO:0042538 (hyperosmotic salinity response), GO:0046854 (phosphatidylinositol phosphate biosynthetic process), GO:0046855 (inositol phosphate dephosphorylation)	GO:0008441 (3'(2'),5'-bisphosphate nucleotidase activity)	GO:0005575 (cellular_component)	0.2328767123287671	0.07920792079207921	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	988585	990066	C2_04720C_A	FGR51		0.11354067635474671		OG0000004	3	1	Protein lacking an ortholog in S. cerevisiae; transposon mutation affects filamentous growth; Hap43p-repressed gene	GO:0009267 (cellular response to starvation), GO:0030447 (filamentous growth), GO:0036170 (filamentous growth of a population of unicellular organisms in response to starvation), GO:0036180 (filamentous growth of a population of unicellular organisms in response to biotic stimulus), GO:0071216 (cellular response to biotic stimulus)	GO:0003674 (molecular_function), GO:0005515 (protein binding)	GO:0005575 (cellular_component)	0.2602739726027397	0.07260726072607261	73	303	True
Candida_albicans	DEL	Ca22chr6A_C_albicans_SC5314	1028580	1031093	C6_04650W_A			0.11086118251928022		OG0001213	2	1	Has domain(s) with predicted peptidase activity and role in proteolysis	GO:0006508 (proteolysis)	GO:0008233 (peptidase activity), GO:0008235 (metalloexopeptidase activity)	GO:0005575 (cellular_component)	0.2054794520547945	0.07590759075907591	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	1001834	1004284	C2_04780W_A			0.10907964053300281		OG0000408	1	2	Ortholog of Candida albicans WO-1 : CAWG_04234	GO:0006338 (chromatin remodeling), GO:0008150 (biological_process), GO:0043486 (histone exchange)	GO:0003674 (molecular_function)	GO:0000812 (Swr1 complex), GO:0005575 (cellular_component)	0.2191780821917808	0.07260726072607261	73	303	True
Candida_albicans	DEL	Ca22chr1A_C_albicans_SC5314	1254843	1256615	C1_05970W_A			0.09978070175438597		OG0005062	1	1	Putative adhesin-like protein; macrophage-induced gene	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.1780821917808219	0.06930693069306931	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	614917	616851	C7_02850W_A			0.09419152276295133		OG0000004	3	1	Ortholog of Candida albicans WO-1 : CAWG_05627	GO:0006457 (protein folding), GO:0008150 (biological_process)	GO:0003674 (molecular_function), GO:0043014 (alpha-tubulin binding)	GO:0005575 (cellular_component)	0.1643835616438356	0.066006600660066	73	303	True
Candida_albicans	DEL	Ca22chrRA_C_albicans_SC5314	1624294	1625424	CR_07490C_A	GLK4		0.09419152276295133		OG0000222	1	1	Putative glucokinase; decreased expression in hyphae compared to yeast-form cells	GO:0001678 (cellular glucose homeostasis), GO:0005975 (carbohydrate metabolic process), GO:0006096 (glycolytic process)	GO:0004396 (hexokinase activity), GO:0005524 (ATP binding), GO:0005536 (glucose binding), GO:0016773 (phosphotransferase activity, alcohol group as acceptor)	GO:0005575 (cellular_component)	0.1643835616438356	0.066006600660066	73	303	True
Candida_albicans	DEL	Ca22chr5A_C_albicans_SC5314	726044	728167	C5_03210C_A			0.09204470742932282		OG0005231	1	1	Protein of unknown function	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.136986301369863	0.06930693069306931	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	585449	586982	C7_02750W_A	FGR6-1		0.09180054245775088		OG0000111	1	1	Protein lacking an ortholog in S. cerevisiae; member of a family encoded by FGR6-related genes in the RB2 repeat sequence; transposon mutation affects filamentous growth	GO:0030447 (filamentous growth)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.1506849315068493	0.066006600660066	73	303	True
Candida_albicans	DEL	Ca22chrRA_C_albicans_SC5314	533719	535104	CR_02400W_A	PHO112		0.09078240095560422		OG0000090	1	1	Phytase, implicated in hyphal morphogenesis and virulence; associated with cell surface; Rim101-repressed; DTT-extractable; N-glycosylated; Hap43-induced	GO:0016036 (cellular response to phosphate starvation), GO:0030448 (hyphal growth), GO:0033518 (myo-inositol hexakisphosphate dephosphorylation), GO:0046434 (organophosphate catabolic process)	GO:0003993 (acid phosphatase activity), GO:0008707 (4-phytase activity), GO:0016791 (phosphatase activity)	GO:0005576 (extracellular region), GO:0005737 (cytoplasm), GO:0009986 (cell surface), GO:0016020 (membrane), GO:0030287 (cell wall-bounded periplasmic space)	0.1643835616438356	0.0627062706270627	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	273669	275717	C7_01340W_A	MRE11	MRE11	0.09019165727170236		OG0001513	1	1	Putative DNA double-strand break repair factor; involved in response to oxidative stress and drug resistance	GO:0000723 (telomere maintenance), GO:0000724 (double-strand break repair via homologous recombination), GO:0000727 (double-strand break repair via break-induced replication), GO:0000729 (DNA double-strand break processing), GO:0006281 (DNA repair), GO:0006284 (base-excision repair), GO:0006302 (double-strand break repair), GO:0006303 (double-strand break repair via nonhomologous end joining), GO:0006974 (cellular response to DNA damage stimulus), GO:0007131 (reciprocal meiotic recombination), GO:0010791 (DNA double-strand break processing involved in repair via synthesis-dependent strand annealing), GO:0030437 (ascospore formation), GO:0031573 (mitotic intra-S DNA damage checkpoint signaling), GO:0034599 (cellular response to oxidative stress), GO:0035690 (cellular response to drug), GO:0035753 (maintenance of DNA trinucleotide repeats), GO:0042138 (meiotic DNA double-strand break formation), GO:0051037 (regulation of transcription involved in meiotic cell cycle), GO:0051321 (meiotic cell cycle), GO:0090529 (cell septum assembly), GO:0097552 (mitochondrial double-strand break repair via homologous recombination), GO:1990898 (meiotic DNA double-strand break clipping), GO:1990918 (double-strand break repair involved in meiotic recombination)	GO:0003691 (double-stranded telomeric DNA binding), GO:0004017 (adenylate kinase activity), GO:0004518 (nuclease activity), GO:0004519 (endonuclease activity), GO:0004520 (endodeoxyribonuclease activity), GO:0008296 (3'-5'-exodeoxyribonuclease activity), GO:0008408 (3'-5' exonuclease activity), GO:0016787 (hydrolase activity), GO:0030145 (manganese ion binding), GO:0042162 (telomeric DNA binding), GO:0043047 (single-stranded telomeric DNA binding), GO:0051880 (G-quadruplex DNA binding), GO:0060090 (molecular adaptor activity)	GO:0000784 (chromosome, telomeric region), GO:0005634 (nucleus), GO:0030870 (Mre11 complex), GO:0035861 (site of double-strand break), GO:1990707 (chromosome, subtelomeric region)	0.0684931506849315	0.132013201320132	73	303	True
Candida_albicans	DEL	Ca22chr1A_C_albicans_SC5314	1691292	1692819	C1_07770W_A	FGR6-3		0.08934143537526687		OG0000111	1	1	Protein lacking an ortholog in S. cerevisiae; member of a family encoded by FGR6-related genes in the RB2 repeat sequence; transposon mutation affects filamentous growth	GO:0009267 (cellular response to starvation), GO:0030447 (filamentous growth), GO:0036170 (filamentous growth of a population of unicellular organisms in response to starvation), GO:0036180 (filamentous growth of a population of unicellular organisms in response to biotic stimulus), GO:0071216 (cellular response to biotic stimulus)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.2191780821917808	0.056105610561056105	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	556999	558633	C2_02790C_A			0.08908685968819598		OG0000047	1	1	Predicted amino acid transmembrane transporter; rat catheter biofilm repressed	GO:0008150 (biological_process), GO:0055085 (transmembrane transport)	GO:0003674 (molecular_function), GO:0022857 (transmembrane transporter activity)	GO:0005575 (cellular_component), GO:0016020 (membrane)	0.136986301369863	0.066006600660066	73	303	True
Candida_albicans	DEL	Ca22chrRA_C_albicans_SC5314	1532277	1535744	CR_07070C_A	ALS3		0.0885593220338983		OG0000003	1	3	Cell wall adhesin; epithelial adhesion, endothelial invasion; alleles vary in adhesiveness; immunoprotective in mice; binds SspB adhesin of S. gordonii in mixed biofilm; induced in/required for Spider biofilm; flow model biofilm repressed	GO:0006878 (cellular copper ion homeostasis), GO:0006897 (endocytosis), GO:0007155 (cell adhesion), GO:0033215 (reductive iron assimilation), GO:0043708 (cell adhesion involved in biofilm formation), GO:0043709 (cell adhesion involved in single-species biofilm formation), GO:0043710 (cell adhesion involved in multi-species biofilm formation), GO:0044011 (single-species biofilm formation on inanimate substrate), GO:0044182 (filamentous growth of a population of unicellular organisms), GO:0044406 (adhesion of symbiont to host), GO:0044409 (entry into host), GO:0098609 (cell-cell adhesion)	GO:0030985 (high molecular weight kininogen binding), GO:0050839 (cell adhesion molecule binding)	GO:0005576 (extracellular region), GO:0009277 (fungal-type cell wall), GO:0009986 (cell surface), GO:0030445 (yeast-form cell wall), GO:0030446 (hyphal cell wall), GO:1903561 (extracellular vesicle)	0.1506849315068493	0.0627062706270627	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	493961	494419	C7_02270W_A	LDG3		0.08521626856036152		OG0000015	1	1	Putative LDG family protein; F-12/CO2 early biofilm induced	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.1506849315068493	0.0594059405940594	73	303	True
Candida_albicans	DEL	Ca22chr2A_C_albicans_SC5314	570077	571711	C2_02850W_A	UGA6		0.08313077297034516		OG0000047	1	1	Putative GABA-specific permease; decreased transcription is observed upon benomyl treatment or in an azole-resistant strain that overexpresses MDR1	GO:0008150 (biological_process), GO:0055085 (transmembrane transport)	GO:0003674 (molecular_function), GO:0022857 (transmembrane transporter activity)	GO:0005575 (cellular_component), GO:0016020 (membrane)	0.1232876712328767	0.0627062706270627	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	495607	496065	C7_02280W_A			0.08176650634018365		OG0000015	1	1	Ortholog of C. parapsilosis CDC317 : CPAR2_808370, C. dubliniensis CD36 : Cd36_72070, Candida metapsilosis : CMET_5895 and Candida orthopsilosis Co 90-125 : CORT_0C00800	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.1506849315068493	0.056105610561056105	73	303	True
Candida_albicans	DEL	Ca22chr3A_C_albicans_SC5314	765496	765804	C3_03620C_A			0.0797872340425532		OG0006036	1	1	Protein of unknown function	GO:0008150 (biological_process)	GO:0003674 (molecular_function)	GO:0005575 (cellular_component)	0.2054794520547945	0.04950495049504951	73	303	True
Candida_albicans	DEL	Ca22chr7A_C_albicans_SC5314	601521	604766	C7_02800W_A	NIK1		0.079606649496605		OG0003847	1	1	Histidine kinase involved in a two-component signaling pathway that regulates cell wall biosynthesis; required for wild-type virulence in mouse systemic infection but not for wild-type growth or drug sensitivity/resistance; 9 HAMP domains	GO:0000160 (phosphorelay signal transduction system), GO:0006355 (regulation of transcription, DNA-templated), GO:0007165 (signal transduction), GO:0007234 (osmosensory signaling via phosphorelay pathway), GO:0016310 (phosphorylation), GO:0030447 (filamentous growth), GO:0036170 (filamentous growth of a population of unicellular organisms in response to starvation), GO:0036180 (filamentous growth of a population of unicellular organisms in response to biotic stimulus), GO:0071216 (cellular response to biotic stimulus), GO:0071470 (cellular response to osmotic stress), GO:0071474 (cellular hyperosmotic response), GO:0097308 (cellular response to farnesol), GO:1900436 (positive regulation of filamentous growth of a population of unicellular organisms in response to starvation), GO:1900445 (positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus)	GO:0000155 (phosphorelay sensor kinase activity), GO:0000156 (phosphorelay response regulator activity), GO:0004673 (protein histidine kinase activity), GO:0005524 (ATP binding), GO:0016772 (transferase activity, transferring phosphorus-containing groups)	GO:0016020 (membrane), GO:0016021 (integral component of membrane)	0.136986301369863	0.056105610561056105	73	303	True
